OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),ComplianceStatus,Outlier,usage_type
26706,2016,NonResidential,Small- and Mid-Sized Office,Moses Building,316 2nd Ave S,Seattle,WA,98104.0,5247800855,7,DOWNTOWN,47.59954,-122.33115,1900,0.0,3,26830,0,26830,"Office, Other",Office,16838.0,Other,10000.0,,,,2099386.75,Compliant,,Multi-usages
26708,2016,NonResidential,Small- and Mid-Sized Office,Mottman Building,307 3rd Ave South,Seattle,WA,98104.0,5247800875,7,DOWNTOWN,47.59971,-122.33065,1906,1.0,5,41920,0,41920,Office,Office,41920.0,,,,,,1103594.75,Compliant,,Mono-usage
26710,2016,NonResidential,Small- and Mid-Sized Office,Masin Building 1,220 Second Avenue South,Seattle,WA,98104.0,5247800890,7,DOWNTOWN,47.60048,-122.33157,1905,1.0,5,36879,0,36879,Office,Office,44000.0,,,,,,1537570.25,Compliant,,Mono-usage
26711,2016,NonResidential,Other,Men's Shelter,318 2nd Ave Extension S,Seattle,WA,98104.0,5247800930,7,DOWNTOWN,47.60055,-122.33057,1904,1.0,6,29820,0,29820,Other - Lodging/Residential,Other - Lodging/Residential,29820.0,,,,,,1601955.625,Compliant,,Mono-usage
26719,2016,NonResidential,Small- and Mid-Sized Office,220_3rd_ave_s_03262013,220 3rd Ave South,Seattle,WA,98104.0,5247801085,7,DOWNTOWN,47.60026,-122.3299,1905,0.0,2,33640,0,33640,Office,Office,27322.0,,,,,,1078535.75,Compliant,,Mono-usage
26720,2016,NonResidential,Warehouse,Seattle Lighting Fixture,222 2nd Ave  Ext S,Seattle,WA,98104.0,5247801115,7,DOWNTOWN,47.59986,-122.32987,1906,1.0,4,43484,0,43484,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,26416.0,Retail Store,9531.0,Office,7537.0,,1567040.75,Compliant,,Multi-usages
26726,2016,NonResidential,Mixed Use Property,Buty Building,501 South Jackson St.,Seattle,WA,98104.0,5247801615,2,DOWNTOWN,47.599,-122.32717,1900,1.0,3,22480,0,22480,"Office, Other, Retail Store",Office,10800.0,Other,10800.0,Retail Store,7200.0,,981009.125,Compliant,,Multi-usages
26728,2016,NonResidential,Hotel,American Hotel,520 S. King St.,Seattle,WA,98104.0,5247801635,2,DOWNTOWN,47.5985,-122.32677,1925,1.0,4,33018,0,33018,"Hotel, Retail Store",Hotel,23193.0,Retail Store,6165.0,,,,4857581.5,Compliant,,Multi-usages
26731,2016,NonResidential,Small- and Mid-Sized Office,Dearborn Bldg.,624 S. Dearborn Bldg.,Seattle,WA,98134.0,5247801801,2,DOWNTOWN,47.5962,-122.32548,1970,1.0,2,26510,0,26510,Office,Office,30800.0,,,,,,987063.6875,Compliant,,Mono-usage
26759,2016,NonResidential,Warehouse,Dunn Lumber Retail/Offices,3801 Latona Av Ne,Seattle,WA,98105.0,4206900410,4,LAKE UNION,47.65429,-122.32618,1938,1.0,1,40028,0,40028,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,33222.0,Retail Store,10208.0,Office,6200.0,,942415.1875,Compliant,,Multi-usages
